x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
0.000000000000000000e+00,9.999999999999933750e+14,9.999999999999981250e+14,9.999999999999943750e+14,1.000000000000003000e+15
6.999999999999999816e-09,3.488893674267749200e+16,4.645798178828151200e+16,5.586287860482605600e+16,5.702014515046577600e+16
1.399999999999999963e-08,6.866589844308373600e+16,9.180385421286302400e+16,1.106135543397297280e+17,1.129280760092110720e+17
2.099999999999999945e-08,1.023311246503663680e+17,1.370377225070790080e+17,1.652520389328108480e+17,1.687237928826502720e+17
2.799999999999999926e-08,1.358848549006108320e+17,1.821596919020567680e+17,2.197783441119380160e+17,2.244072960771923200e+17
3.499999999999999577e-08,1.693273287106352320e+17,2.271698676256131840e+17,2.741924816046321280e+17,2.799785858992361280e+17
4.199999999999999889e-08,2.026587855718408640e+17,2.720683549011503040e+17,3.284944631379517440e+17,3.354376626551695360e+17
4.899999999999999540e-08,2.358794649441171200e+17,3.168552589465530880e+17,3.826843004383759360e+17,3.907845266513646720e+17
5.599999999999999852e-08,2.689896062498020800e+17,3.615306849730851840e+17,4.367620052316895360e+17,4.460191781941750400e+17
6.299999999999999503e-08,3.019894488676947200e+17,4.060947381842861440e+17,4.907275892428673920e+17,5.011416175899346560e+17
6.999999999999999154e-08,3.348792321271243520e+17,4.505475237748688000e+17,5.445810641959582720e+17,5.561518451449512960e+17
7.700000000000000128e-08,3.676591953020703360e+17,4.948891469296145280e+17,5.983224418139690240e+17,6.110498611655070720e+17
8.399999999999999779e-08,4.003295776053358080e+17,5.391197128222727040e+17,6.519517338187491840e+17,6.658356659578524160e+17
9.100000000000000753e-08,4.328906181827758720e+17,5.832393266144574720e+17,7.054689519308757760e+17,7.205092598282069760e+17
9.799999999999999080e-08,4.653425561075727360e+17,6.272480934545423360e+17,7.588741078695357440e+17,7.750706430827508480e+17
1.050000000000000005e-07,4.976856303745702400e+17,6.711461184765651200e+17,8.121672133524142080e+17,8.295198160276272640e+17
1.119999999999999970e-07,5.299200798946529280e+17,7.149335067991171840e+17,8.653482800955719680e+17,8.838567789689363200e+17
1.189999999999999936e-07,5.620461434891797760e+17,7.586103635242479360e+17,9.184173198133392640e+17,9.380815322127325440e+17
1.259999999999999901e-07,5.940640598844677120e+17,8.021767937363618560e+17,9.713743442181899520e+17,9.921940760650220800e+17
1.330000000000000130e-07,6.259740677063264000e+17,8.456329025011160320e+17,1.024219365020636032e+18,1.046194410831761280e+18
1.399999999999999831e-07,6.577764054746401280e+17,8.889787948643207680e+17,1.076952393929101696e+18,1.100082536818848768e+18
1.470000000000000061e-07,6.894713115980042240e+17,9.322145758508389120e+17,1.129573442649817472e+18,1.153858454332129024e+18
1.540000000000000026e-07,7.210590243684048640e+17,9.753403504634841600e+17,1.182082522886697728e+18,1.207522163677384448e+18
1.609999999999999991e-07,7.525397819559517440e+17,1.018356223681923712e+18,1.234479646341228800e+18,1.261073665160335104e+18
1.679999999999999956e-07,7.839138224036604160e+17,1.061262300461576704e+18,1.286764824712351744e+18,1.314512959086631936e+18
1.749999999999999921e-07,8.151813836222758400e+17,1.104058685732516864e+18,1.338938069696347904e+18,1.367840045761859328e+18
1.820000000000000151e-07,8.463427033851552000e+17,1.146745484398373248e+18,1.390999392986724352e+18,1.421054925491529472e+18
1.889999999999999851e-07,8.773980193231829760e+17,1.189322801335229952e+18,1.442948806274092800e+18,1.474157598581073664e+18
1.959999999999999816e-07,9.083475689197502720e+17,1.231790741390532608e+18,1.494786321246065664e+18,1.527148065335853568e+18
2.030000000000000046e-07,9.391915895057660160e+17,1.274149409381987840e+18,1.546511949587127040e+18,1.580026326061140480e+18
2.100000000000000011e-07,9.699303182547240960e+17,1.316398910096467456e+18,1.598125702978528256e+18,1.632792381062127872e+18
2.169999999999999976e-07,1.000563992177811968e+18,1.358539348288911872e+18,1.649627593098165248e+18,1.685446230643916544e+18
2.239999999999999941e-07,1.031092848119065984e+18,1.400570828681233408e+18,1.701017631620468224e+18,1.737987875111518720e+18
2.310000000000000171e-07,1.061517122750577152e+18,1.442493455961227520e+18,1.752295830216286208e+18,1.790417314769856000e+18
2.379999999999999871e-07,1.091837052567727744e+18,1.484307334781464320e+18,1.803462200552764672e+18,1.842734549923747328e+18
2.449999999999999836e-07,1.122052873884494976e+18,1.526012569758212096e+18,1.854516754293244672e+18,1.894939580877916928e+18
2.519999999999999801e-07,1.152164822828772096e+18,1.567609265470326784e+18,1.905459503097128704e+18,1.947032407936984320e+18
2.590000000000000296e-07,1.182173135337763072e+18,1.609097526458172928e+18,1.956290458619785216e+18,1.999013031405465856e+18
2.660000000000000261e-07,1.212078047153391872e+18,1.650477457222520832e+18,2.007009632512418560e+18,2.050881451587763200e+18
2.730000000000000226e-07,1.241879793817777408e+18,1.691749162223463680e+18,2.057617036421961216e+18,2.102637668788173056e+18
2.799999999999999662e-07,1.271578610668744192e+18,1.732912745879317504e+18,2.108112681990957056e+18,2.154281683310874624e+18
2.869999999999999627e-07,1.301174732835367680e+18,1.773968312565541376e+18,2.158496580857448960e+18,2.205813495459928832e+18
2.940000000000000121e-07,1.330668395233576448e+18,1.814915966613636864e+18,2.208768744654859008e+18,2.257233105539277824e+18
3.010000000000000086e-07,1.360059832561785600e+18,1.855755812310067968e+18,2.258929185011878144e+18,2.308540513852738048e+18
3.080000000000000051e-07,1.389349279296577280e+18,1.896487953895168512e+18,2.308977913552346624e+18,2.359735720704001536e+18
3.150000000000000016e-07,1.418536969688419840e+18,1.937112495562052352e+18,2.358914941895147520e+18,2.410818726396628480e+18
3.219999999999999981e-07,1.447623137757432320e+18,1.977629541455534080e+18,2.408740281654080000e+18,2.461789531234045952e+18
3.289999999999999946e-07,1.476608017289184512e+18,2.018039195671037440e+18,2.458453944437759488e+18,2.512648135519549952e+18
3.359999999999999911e-07,1.505491841830540800e+18,2.058341562253508864e+18,2.508055941849486336e+18,2.563394539556293120e+18
3.429999999999999877e-07,1.534274844685545472e+18,2.098536745196340480e+18,2.557546285487150592e+18,2.614028743647286272e+18
3.499999999999999842e-07,1.562957258911345408e+18,2.138624848440279808e+18,2.606924986943095296e+18,2.664550748095400960e+18
3.569999999999999807e-07,1.591539317314149632e+18,2.178605975872346624e+18,2.656192057804022272e+18,2.714960553203353088e+18
3.640000000000000301e-07,1.620021252445242880e+18,2.218480231324759040e+18,2.705347509650865152e+18,2.765258159273718784e+18
3.710000000000000266e-07,1.648403296597011200e+18,2.258247718573842176e+18,2.754391354058683392e+18,2.815443566608907776e+18
3.779999999999999702e-07,1.676685681799039232e+18,2.297908541338956288e+18,2.803323602596537344e+18,2.865516775511183872e+18
3.849999999999999667e-07,1.704868639814217728e+18,2.337462803281417216e+18,2.852144266827386368e+18,2.915477786282644992e+18
3.919999999999999632e-07,1.732952402134904576e+18,2.376910608003405312e+18,2.900853358307968512e+18,2.965326599225229824e+18
3.990000000000000126e-07,1.760937199979123712e+18,2.416252059046913024e+18,2.949450888588680192e+18,3.015063214640710656e+18
4.060000000000000092e-07,1.788823264286791424e+18,2.455487259892641280e+18,2.997936869213479936e+18,3.064687632830691328e+18
4.130000000000000057e-07,1.816610825715994624e+18,2.494616313958945280e+18,3.046311311719751168e+18,3.114199854096602624e+18
4.200000000000000022e-07,1.844300114639286528e+18,2.533639324600747008e+18,3.094574227638210560e+18,3.163599878739702272e+18
4.269999999999999457e-07,1.871891361140047616e+18,2.572556395108468736e+18,3.142725628492779008e+18,3.212887707061071872e+18
4.339999999999999952e-07,1.899384795008849408e+18,2.611367628706958848e+18,3.190765525800474624e+18,3.262063339361611264e+18
