x,t=steady
0.000000000000000000e+00,9.999999999999987500e+14
6.999999999999999816e-09,5.705119177021268800e+16
1.399999999999999963e-08,1.129901689422872960e+17
2.099999999999999945e-08,1.688169315162237440e+17
2.799999999999999926e-08,2.245314794920220800e+17
3.499999999999999577e-08,2.801338128696823360e+17
4.199999999999999889e-08,3.356239316492046080e+17
4.900000000000000202e-08,3.910018358305885440e+17
5.599999999999999852e-08,4.462675254138342400e+17
6.299999999999999503e-08,5.014210003989421440e+17
6.999999999999999154e-08,5.564622607859117440e+17
7.700000000000000128e-08,6.113913065747432960e+17
8.399999999999999779e-08,6.662081377654365440e+17
9.099999999999999429e-08,7.209127543579918080e+17
9.800000000000000404e-08,7.755051563524090880e+17
1.050000000000000005e-07,8.299853437486872320e+17
1.119999999999999970e-07,8.843533165468284160e+17
1.189999999999999936e-07,9.386090747468307200e+17
1.259999999999999901e-07,9.927526183486952960e+17
1.329999999999999866e-07,1.046783947352421248e+18
1.399999999999999831e-07,1.100703061758008960e+18
1.470000000000000061e-07,1.154509961565458688e+18
1.540000000000000026e-07,1.208204646774770688e+18
1.609999999999999991e-07,1.261787117385943296e+18
1.679999999999999956e-07,1.315257373398979328e+18
1.749999999999999921e-07,1.368615414813875712e+18
1.819999999999999886e-07,1.421861241630634496e+18
1.889999999999999851e-07,1.474994853849254144e+18
1.960000000000000081e-07,1.528016251469737728e+18
2.030000000000000046e-07,1.580925434492081664e+18
2.100000000000000011e-07,1.633722402916287232e+18
2.169999999999999976e-07,1.686407156742355456e+18
2.239999999999999941e-07,1.738979695970284800e+18
2.309999999999999906e-07,1.791440020600076800e+18
2.379999999999999871e-07,1.843788130631730176e+18
2.449999999999999836e-07,1.896024026065244928e+18
2.519999999999999801e-07,1.948147706900622336e+18
2.589999999999999766e-07,2.000159173137860096e+18
2.659999999999999731e-07,2.052058424776961536e+18
2.729999999999999696e-07,2.103845461817923072e+18
2.799999999999999662e-07,2.155520284260746752e+18
2.870000000000000156e-07,2.207082892105433088e+18
2.940000000000000121e-07,2.258533285351981056e+18
3.010000000000000086e-07,2.309871464000390144e+18
3.080000000000000051e-07,2.361097428050662912e+18
3.150000000000000016e-07,2.412211177502797312e+18
3.219999999999999981e-07,2.463212712356793344e+18
3.289999999999999946e-07,2.514102032612650496e+18
3.359999999999999911e-07,2.564879138270370816e+18
3.429999999999999877e-07,2.615544029329952256e+18
3.499999999999999842e-07,2.666096705791396352e+18
3.569999999999999807e-07,2.716537167654701568e+18
3.639999999999999772e-07,2.766865414919868416e+18
3.709999999999999737e-07,2.817081447586897920e+18
3.779999999999999702e-07,2.867185265655788544e+18
3.849999999999999667e-07,2.917176869126539264e+18
3.920000000000000161e-07,2.967056257999154176e+18
3.990000000000000126e-07,3.016823432273628672e+18
4.060000000000000092e-07,3.066478391949963264e+18
4.130000000000000057e-07,3.116021137028162560e+18
4.200000000000000022e-07,3.165451667508221440e+18
4.269999999999999987e-07,3.214769983390143488e+18
4.339999999999999952e-07,3.263976084673927168e+18
4.409999999999999917e-07,3.313069971359570944e+18
4.479999999999999882e-07,3.362051643447078400e+18
4.549999999999999847e-07,3.410921100936447488e+18
4.619999999999999812e-07,3.459678343827676672e+18
4.689999999999999777e-07,3.508323372120768512e+18
4.759999999999999742e-07,3.556856185815722496e+18
4.829999999999999707e-07,3.605276784912538624e+18
4.899999999999999672e-07,3.653585169411215872e+18
4.969999999999999637e-07,3.701781339311754240e+18
5.039999999999999603e-07,3.749865294614156288e+18
5.109999999999999568e-07,3.797837035318418944e+18
5.179999999999999533e-07,3.845696561424544256e+18
5.249999999999999498e-07,3.893443872932529152e+18
5.319999999999999463e-07,3.941078969842378752e+18
5.389999999999999428e-07,3.988601852154089984e+18
5.459999999999999393e-07,4.036012519867660288e+18
5.529999999999999358e-07,4.083310972983095808e+18
5.599999999999999323e-07,4.130497211500390400e+18
5.670000000000000347e-07,4.177571235419547136e+18
5.740000000000000312e-07,4.224533044740570112e+18
5.810000000000000277e-07,4.271382639463446528e+18
5.880000000000000242e-07,4.318120019588193280e+18
5.950000000000000207e-07,4.364745185114796544e+18
6.020000000000000172e-07,4.411258136043264000e+18
6.090000000000000137e-07,4.457658872373594624e+18
6.160000000000000102e-07,4.503947394105782784e+18
6.230000000000000067e-07,4.550123701239837184e+18
6.300000000000000033e-07,4.596187793775751168e+18
6.369999999999999998e-07,4.642139671713525760e+18
6.439999999999999963e-07,4.687979335053166592e+18
6.509999999999999928e-07,4.733706783794665472e+18
6.579999999999999893e-07,4.779322017938028544e+18
6.649999999999999858e-07,4.824825037483252736e+18
6.719999999999999823e-07,4.870215842430337024e+18
6.789999999999999788e-07,4.915494432779284480e+18
6.859999999999999753e-07,4.960660808530095104e+18
6.929999999999999718e-07,5.005714969682765824e+18
6.999999999999999683e-07,5.050656916237297664e+18
7.069999999999999648e-07,5.095486648193692672e+18
7.139999999999999613e-07,5.140204165551948800e+18
7.209999999999999578e-07,5.184809468312070144e+18
7.279999999999999544e-07,5.229302556474048512e+18
7.349999999999999509e-07,5.273683430037892096e+18
7.419999999999999474e-07,5.317952089003596800e+18
7.489999999999999439e-07,5.362108533371161600e+18
7.559999999999999404e-07,5.406152763140592640e+18
